时期,国家,商品尺寸,发货重量,FBA费用
2025年10月15日至2026年1月14日,英国,特大号大件,<=760g,11.53
2025年10月15日至2026年1月14日,英国,特大号大件,>760g,11.53+((发货重量-760)/1000)*0.31
2025年10月15日至2026年1月14日,英国,超重型大件,<=31500g,13.04
2025年10月15日至2026年1月14日,英国,超重型大件,>31500g,13.04+((发货重量-31500)/1000)*0.09
2025年10月15日至2026年1月14日,英国,特殊大件,<=30000g,16.22
2025年10月15日至2026年1月14日,英国,特殊大件,<=40000g,17.24
2025年10月15日至2026年1月14日,英国,特殊大件,<=50000g,34.38
2025年10月15日至2026年1月14日,英国,特殊大件,<=60000g,42.04
2025年10月15日至2026年1月14日,英国,特殊大件,>60000g,42.04+((发货重量-60000)/1000)*0.35
2025年1月15日至2025年10月14日,德国,轻型信封,<=20g,2.33
2025年1月15日至2025年10月14日,德国,轻型信封,<=40g,2.37
2025年1月15日至2025年10月14日,德国,轻型信封,<=60g,2.39
2025年1月15日至2025年10月14日,德国,轻型信封,<=80g,2.52
2025年1月15日至2025年10月14日,德国,轻型信封,<=100g,2.54
2025年1月15日至2025年10月14日,德国,标准信封,<=210g,2.57
2025年1月15日至2025年10月14日,德国,标准信封,<=460g,2.68
2025年1月15日至2025年10月14日,德国,大号信封,<=960g,3.04
2025年1月15日至2025年10月14日,德国,超大号信封,<=960g,3.42
2025年1月15日至2025年10月14日,德国,小包裹,<=150g,3.38
2025年1月15日至2025年10月14日,德国,小包裹,<=400g,3.4
2025年1月15日至2025年10月14日,德国,小包裹,<=900g,3.67
2025年1月15日至2025年10月14日,德国,小包裹,<=1400g,4.29
2025年1月15日至2025年10月14日,德国,小包裹,<=1900g,4.49
2025年1月15日至2025年10月14日,德国,小包裹,<=3900g,5.57
2025年1月15日至2025年10月14日,德国,标准包裹,<=150g,3.39
2025年1月15日至2025年10月14日,德国,标准包裹,<=400g,3.78
2025年1月15日至2025年10月14日,德国,标准包裹,<=900g,3.9
2025年1月15日至2025年10月14日,德国,标准包裹,<=1400g,4.54
2025年1月15日至2025年10月14日,德国,标准包裹,<=1900g,4.97
2025年1月15日至2025年10月14日,德国,标准包裹,<=2900g,5.2
2025年1月15日至2025年10月14日,德国,标准包裹,<=3900g,5.67
2025年1月15日至2025年10月14日,德国,标准包裹,<=5900g,5.95
2025年1月15日至2025年10月14日,德国,标准包裹,<=8900g,6.41
2025年1月15日至2025年10月14日,德国,标准包裹,<=11900g,6.65
2025年1月15日至2025年10月14日,德国,小号大件,<=760g,4.79
2025年1月15日至2025年10月14日,德国,小号大件,>760g,4.79+((发货重量-760)/1000)*0.48
2025年1月15日至2025年10月14日,德国,轻型标准大件,<=760g,4.91
2025年1月15日至2025年10月14日,德国,轻型标准大件,>760g,4.91+((发货重量-760)/1000)*0.29
2025年1月15日至2025年10月14日,德国,重型标准大件,<=15760g,9.19
2025年1月15日至2025年10月14日,德国,重型标准大件,>15760g,9.19+((发货重量-15760)/1000)*0.14
2025年1月15日至2025年10月14日,德国,大号标准大件,<=760g,6.67
2025年1月15日至2025年10月14日,德国,大号标准大件,>760g,6.67+((发货重量-760)/1000)*0.18
2025年1月15日至2025年10月14日,德国,特大号大件,<=760g,9.78
2025年1月15日至2025年10月14日,德国,特大号大件,>760g,9.78+((发货重量-760)/1000)*0.36
2025年1月15日至2025年10月14日,德国,超重型大件,<=31500g,13
2025年1月15日至2025年10月14日,德国,超重型大件,>31500g,13+((发货重量-31500)/1000)*0.15
2025年1月15日至2025年10月14日,德国,特殊大件,<=30000g,21.3
2025年1月15日至2025年10月14日,德国,特殊大件,<=40000g,24.19
2025年1月15日至2025年10月14日,德国,特殊大件,<=50000g,47.98
2025年1月15日至2025年10月14日,德国,特殊大件,<=60000g,51.99
